ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,,A,,A,,A,3,D,2,D,,A,,A,3,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286194,,A,,A,,A,,A,,A,HHP,5,1,13,4,D,20234
0,2,D,,A,,A,3,D,2,D,,A,,A,5,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286194,1,D,,A,,A,,A,,A,HHP,5,1,15,,A,20234
0,,A,,A,,A,1,D,3,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286243,,A,,A,,A,,A,,A,HHP,5,1,6,1,D,20234
0,,A,,A,,A,1,D,3,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286243,,A,,A,,A,,A,,A,HHP,5,1,7,4,D,20234
0,2,D,,A,,A,1,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286333,1,D,,A,,A,,A,,A,HHP,5,1,6,,A,20234
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,03,,D,C,1,,A,D,,A,,A,05286333,1,D,,A,,A,,A,1261,F,HHP,5,1,7,,A,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,,D,C,1,,A,D,,A,,A,05286333,1,D,,A,,A,,A,299,F,HHP,5,1,8,,A,20234
0,2,D,,A,,A,1,D,1,D,,A,,A,4,,1,2,A,D,D,D,,,A,A,2,,A,D,,A,,A,05286333,1,D,2,D,,A,,A,,A,HHP,5,1,9,,A,20234
0,,A,1,D,,A,2,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,,D,C,1,,A,D,,A,,A,05286423,,A,,A,,A,,A,210,F,HHP,5,1,10,1,D,20234
0,,A,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,74,D,D,1,,A,D,,A,,A,05286633,,A,,A,,A,,A,222,D,HHP,5,1,24,1,D,20234
0,,A,1,D,,A,1,D,1,D,,A,1,D,2,2,,1,D,D,A,D,04,57,D,D,1,,A,D,,A,,A,05286633,,A,,A,,A,,A,171,D,HHP,5,1,25,1,D,20234
0,,A,1,D,,A,1,D,1,D,,A,1,D,3,2,,1,D,D,A,D,04,186,D,D,1,,A,D,,A,,A,05286633,,A,,A,,A,,A,558,D,HHP,5,1,26,2,D,20234
0,,A,1,D,,A,1,D,1,D,,A,1,D,4,2,,1,D,D,A,D,06,107,D,D,1,,A,D,,A,,A,05286633,,A,,A,,A,,A,107,D,HHP,5,1,27,5,D,20234
0,,A,1,D,,A,1,D,,A,,A,,A,6,,2,1,A,D,D,D,04,186,D,D,,,A,A,,A,,A,05286633,,A,,A,,A,,A,558,D,HHP,1,1,35,2,D,20234
0,,A,,A,1,D,1,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286703,,A,,A,,A,,A,,A,HHP,5,1,5,1,D,20234
0,,A,,A,1,D,3,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286703,,A,,A,,A,,A,,A,HHP,5,1,6,3,D,20234
0,,A,,A,1,D,3,D,2,D,,A,,A,3,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286703,,A,,A,,A,,A,,A,HHP,5,1,7,4,D,20234
0,2,D,,A,1,D,3,D,2,D,,A,,A,4,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286703,1,D,,A,,A,,A,,A,HHP,5,1,8,,A,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,125,D,D,1,,A,D,1,D,,A,05286733,2,D,,A,,A,,A,813,D,HHP,5,1,13,,A,20234
0,1,D,1,D,1,D,3,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,30,D,D,1,,A,D,1,D,,A,05286793,2,D,,A,,A,,A,195,D,HHP,5,1,14,,A,20234
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,90,D,D,1,,A,D,2,D,,A,05286813,2,D,,A,,A,,A,585,D,HHP,5,1,4,,A,20234
0,2,D,,A,,A,1,D,1,D,,A,,A,1,,,2,A,D,C,D,,,A,A,,,A,A,,A,,A,05286863,1,D,2,D,,A,,A,,A,HHP,1,1,4,,A,20234
0,2,D,2,D,,A,6,D,1,D,,A,,A,1,2,,1,D,D,A,D,09,,D,A,1,,A,D,,A,,A,05286893,1,D,1,D,,C,2,D,,A,HHP,5,1,5,,A,20234
0,,A,1,D,,A,2,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,60,D,D,1,,A,D,,A,,A,05287023,,A,,A,,A,,A,180,D,HHP,5,1,7,1,D,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,250,D,D,1,,A,D,2,D,,A,05287043,2,D,,A,,A,,A,750,D,HHP,5,1,4,,A,20234
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,54,D,D,1,,A,D,2,D,,A,05287093,2,D,,A,,A,,A,351,D,HHP,5,1,6,,A,20234
0,1,D,1,D,1,D,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,03,200,D,D,1,,A,D,2,D,,A,05287113,2,D,,A,,A,,A,1200,D,HHP,5,1,15,,A,20234
0,1,D,,A,,A,1,D,2,D,,A,,A,2,1,,1,D,D,A,D,02,,D,C,,,A,A,,A,,A,05287113,1,D,,A,,A,,A,2448,F,HHP,1,1,16,,A,20234
0,,A,,A,,A,1,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05287163,,A,,A,,A,,A,,A,HHP,5,1,6,1,D,20234
0,,A,,A,,A,1,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05287163,,A,,A,,A,,A,,A,HHP,5,1,7,4,D,20234
0,2,D,,A,1,D,1,D,2,D,,A,,A,3,,1,2,A,D,D,D,,,A,A,1,,A,D,2,D,,A,05287163,2,D,,A,,A,,A,,A,HHP,5,1,8,,A,20234
0,,A,,A,,A,1,D,1,D,,A,,A,1,,2,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05287173,,A,,A,,A,,A,,A,HHP,5,1,6,1,D,20234
0,,A,,A,,A,1,D,1,D,,A,,A,2,,2,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05287173,,A,,A,,A,,A,,A,HHP,5,1,7,4,D,20234
0,2,D,,A,,A,1,D,1,D,,A,,A,3,,2,2,A,D,D,D,,,A,A,1,,A,D,2,D,,A,05287173,1,D,2,D,,A,,A,,A,HHP,5,1,8,,A,20234
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,13,D,D,1,,A,D,,A,,A,05287203,,A,,A,,A,,A,85,D,HHP,5,1,12,1,D,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,133,D,D,1,,A,D,2,D,,A,05287203,2,D,,A,,A,,A,865,D,HHP,5,1,13,,A,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,,D,C,1,,A,D,2,D,,A,05287203,2,D,,A,,A,,A,527,F,HHP,5,1,14,,A,20234
0,2,D,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,259,D,D,1,,A,D,2,D,,A,05287253,1,D,2,D,,A,,A,777,D,HHP,5,1,6,,A,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,220,D,D,1,,A,D,2,D,,A,05287313,2,D,,A,,A,,A,660,D,HHP,5,1,10,,A,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,262,D,D,1,,A,D,2,D,,A,05287313,2,D,,A,,A,,A,786,D,HHP,5,1,11,,A,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,03,,D,C,1,,A,D,,A,,A,05287353,1,D,,A,,A,,A,780,F,HHP,5,1,4,,A,20234
0,2,D,,A,,A,1,D,2,D,,A,,A,1,1,,1,D,D,A,D,03,99,D,D,,,A,A,2,D,,A,05287443,2,D,,A,,A,,A,594,D,HHP,1,1,23,,A,20234
0,2,D,,A,1,D,4,D,2,D,,A,,A,2,1,,1,D,D,A,D,02,140,D,D,,,A,A,2,D,,A,05287443,2,D,,A,,A,,A,910,D,HHP,1,1,24,,A,20234
0,2,D,,A,,A,4,D,2,D,,A,,A,1,1,,1,D,D,A,D,02,,D,C,,,A,A,1,D,,A,05287483,1,D,,A,,A,,A,4394,F,HHP,1,1,6,,A,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,415,D,D,1,,A,D,,A,,A,05287523,1,D,,A,,A,,A,2698,D,HHP,5,1,11,,A,20234
0,2,D,,A,,A,1,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,,,A,A,,C,,A,05287573,1,D,,A,,A,,A,,A,HHP,1,1,7,,A,20234
0,,A,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,46,D,D,1,,A,D,,A,,A,05287613,,A,,A,,A,,A,138,D,HHP,5,1,7,1,D,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,,D,C,1,,A,D,2,D,,A,05287613,1,D,,A,,A,,A,1625,F,HHP,5,1,8,,A,20234
0,,A,1,D,,A,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,39,D,D,1,,A,D,,A,,A,05287713,,A,,A,,A,,A,254,D,HHP,5,1,10,1,D,20234
