QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20232,05217773,8,0,1,321,D,,A,,A,2,D,,A,12,,180,D,D
20232,05217773,9,0,2,225,D,,A,02,D,,A,,A,,,200,A,D
20232,05217853,4,0,1,303,D,,A,13,D,,A,,A,,,3750,A,D
20232,05217853,5,0,1,365,D,,A,02,D,,A,,A,,,150,A,D
20232,05218033,3,0,1,321,D,,A,,A,4,D,,A,3,,120,D,D
20232,05218063,7,0,1,100,D,2,D,13,D,,A,,A,,,6000,A,D
20232,05218653,7,0,1,301,D,,A,04,D,,A,,A,,,75,A,D
20232,05218673,4,0,1,200,D,,A,13,D,,A,,A,,,4416,A,D
20232,05218883,6,0,1,200,D,,A,13,D,,A,,A,,,5124,A,D
20232,05219193,6,0,1,303,D,,A,13,D,,A,,A,,,720,A,D
20232,05219353,15,0,1,321,D,,A,,A,2,D,,A,13,,195,D,D
20232,05219363,6,0,1,225,D,,A,13,D,,A,,A,,,645,A,D
20232,05219563,8,0,1,321,D,,A,,A,4,D,,A,3,,300,D,D
20232,05219603,8,0,1,321,D,,A,,A,1,D,,A,12,2,180,D,D
20232,05219623,6,0,2,225,D,,A,02,D,,A,,A,,,100,A,D
20232,05219633,5,0,1,200,D,,A,03,D,,A,,A,,,200,A,D
20232,05219933,4,0,1,303,D,,A,13,D,,A,,A,,,6000,A,D
20232,05219943,6,0,1,345,D,,A,02,D,,A,,A,,,120,A,D
20232,05219943,7,0,1,345,D,,A,03,D,,A,,A,,,360,A,D
20232,05219943,8,0,1,345,D,,A,04,D,,A,,A,,,280,A,D
20232,05219943,9,0,1,365,D,,A,13,D,,A,,A,,,30,A,D
20232,05220153,4,0,1,321,D,,A,,A,4,D,,A,3,,300,D,D
20232,05220353,6,0,1,345,D,,A,13,D,,A,,A,,,960,A,D
20232,05220873,6,0,1,321,D,,A,,A,2,D,,A,12,,120,D,D
20232,05220913,6,0,1,200,D,,A,13,D,,A,,A,,,3000,A,D
20232,05221183,3,0,1,365,D,,A,02,D,,A,,A,,,100,A,D
20232,05221213,7,0,1,225,D,,A,13,D,,A,,A,,,600,A,D
20232,05221403,11,0,1,321,D,,A,,A,5,D,200,D,,,200,A,D
20232,05221403,12,0,1,345,D,,A,13,D,,A,,A,,,60,A,D
20232,05221403,13,0,1,345,D,,A,13,D,,A,,A,,,150,A,D
20232,05221403,14,0,1,345,D,,A,13,D,,A,,A,,,900,A,D
20232,05221403,15,0,1,345,D,,A,13,D,,A,,A,,,1125,A,D
20232,05221473,6,0,1,100,D,2,D,13,D,,A,,A,,,225,A,D
20232,05221883,6,0,1,225,D,,A,13,D,,A,,A,,,1980,A,D
20232,05221933,4,0,1,200,D,,A,13,D,,A,,A,,,1050,A,D
20232,05221933,5,0,1,225,D,,A,04,D,,A,,A,,,60,A,D
20232,05221963,7,0,1,200,D,,A,13,D,,A,,A,,,4260,A,D
20232,05221963,8,0,1,225,D,,A,04,D,,A,,A,,,75,A,D
20232,05222133,5,0,1,225,D,,A,04,D,,A,,A,,,30,A,D
20232,05222233,7,0,1,100,D,2,D,13,D,,A,,A,,,480,A,D
20232,05222233,8,0,1,200,D,,A,02,D,,A,,A,,,100,A,D
20232,05222233,9,0,1,200,D,,A,04,D,,A,,A,,,320,A,D
20232,05222433,5,0,1,100,D,1,D,13,D,,A,,A,,,3900,A,D
20232,05222503,7,0,1,340,D,,A,02,D,,A,,A,,,35,A,D
20232,05222593,8,0,1,321,D,,A,,A,5,D,150,D,,1,150,A,D
20232,05222953,5,0,1,321,D,,A,,A,4,D,,A,3,,240,D,D
20232,05222953,6,0,1,321,D,,A,,A,4,D,,A,3,,270,D,D
20232,05223093,5,0,1,200,D,,A,03,D,,A,,A,,,640,A,D
20232,05223313,9,0,1,200,D,,A,02,D,,A,,A,,,130,A,D
20232,05223313,10,0,1,200,D,,A,03,D,,A,,A,,,185,A,D
20232,05223313,11,0,1,200,D,,A,04,D,,A,,A,,,165,A,D
20232,05223313,12,0,1,321,D,,A,,A,5,D,88,D,,,88,A,D
20232,05223313,13,0,2,200,D,,A,02,D,,A,,A,,,130,A,D
