QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20233,05345462,1,0,1,470,D,1,D,05,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05345682,3,0,2,380,D,1,D,05,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05345682,4,0,2,370,D,1,D,05,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05346004,1,0,1,380,D,1,D,07,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05346004,2,0,1,470,D,1,D,06,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05346242,3,0,1,460,D,1,D,06,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05346712,3,0,1,370,D,1,D,07,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05346942,6,0,1,450,D,1,D,05,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05347392,1,0,1,120,D,1,D,07,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05347462,1,0,1,380,D,1,D,07,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05347462,2,0,1,380,D,1,D,07,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05347472,6,0,1,380,D,1,D,05,D,49,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05347472,7,0,1,460,D,1,D,06,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05347602,1,0,1,120,D,1,D,07,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05347772,2,0,1,370,D,1,D,07,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05347782,10,0,1,380,D,1,D,07,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20233,05348383,1,0,1,460,D,1,D,07,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05348383,2,0,1,470,D,1,D,07,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05348442,2,0,1,480,D,1,D,06,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05348542,9,0,1,370,D,1,D,07,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05348562,2,0,1,380,D,1,D,07,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05348642,1,0,1,380,D,1,D,07,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05349712,7,0,2,460,D,1,D,05,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
