QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20232,05093944,12,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,970,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093964,19,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,5800,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094044,24,0,5,01,D,100,D,,A,3,D,,B,1974,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094064,21,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,8800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094104,35,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094134,25,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094134,26,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094144,27,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,0,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094164,19,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,5800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094224,14,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094234,16,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,2800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094234,17,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094264,15,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,7000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094314,32,0,5,01,D,100,D,,A,3,D,11,D,2022,D,995000,D,400000,D,,C,5900,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20232,05094314,33,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094364,9,0,5,01,D,100,D,,A,2,D,,B,2001,D,,A,,A,,A,4800,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094374,20,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,6200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
