QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20232,05214353,15,0,5,02,D,105,D,2021,D,,A,36,D,03,D,550,D,3,D,,A,,A,,A,,A,,A,550,D,550,D,550,D,,A,,A,,A,,A,,A,D,,A,2021,D,FOR
20232,05215403,7,0,5,01,D,105,D,2022,D,,A,36,D,04,F,355,D,3,D,,A,,C,,A,,A,,A,355,D,355,D,355,D,,A,,A,,A,,A,,A,D,,A,2022,D,TOY
20232,05216083,34,0,5,01,D,105,D,2019,D,,A,,C,10,D,566,D,3,D,,A,,A,,A,,A,04,D,566,D,566,D,566,D,,A,,A,,A,,A,,A,D,2023,D,2019,D,JEE
20232,05218333,9,0,5,01,D,105,D,2022,D,,A,36,D,05,D,700,D,3,D,,A,,A,,A,,A,,A,700,D,700,D,700,D,,A,,A,,A,,A,,A,D,,A,2022,D,AUD
20232,05218813,13,0,5,01,D,105,D,2020,D,,A,36,D,03,D,372,D,3,D,,A,4500,D,,A,,A,03,D,372,D,372,D,,A,,A,,A,,A,,A,,A,D,,A,2020,D,NIS
20232,05219193,17,0,5,01,D,105,D,2019,D,,A,36,D,01,F,500,D,3,D,,A,,A,5000,D,,A,03,F,500,D,500,D,500,D,,A,,A,,A,5000,D,,A,D,,A,2019,D,FOR
20232,05219193,18,0,1,02,D,105,D,2023,D,,A,36,D,06,D,475,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2023,D,FOR
20232,05219353,34,0,5,01,D,105,D,2021,D,,A,36,D,04,D,270,D,3,D,,A,,C,,A,,A,,A,270,D,270,D,270,D,,A,,A,,A,,A,,A,D,,A,2021,D,JEE
20232,05220073,10,0,5,01,D,105,D,2022,D,,A,36,D,03,F,563,D,3,D,,A,,C,,A,,A,,A,563,D,563,D,563,D,,A,,A,,A,,A,,A,D,,A,2022,D,HYU
20232,05221673,12,0,5,01,D,105,D,2021,D,,A,36,D,03,D,350,D,3,D,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2021,D,KIA
20232,05221973,17,0,5,01,D,105,D,2020,D,,A,36,D,02,D,327,D,3,D,,A,,A,2000,D,,A,,A,327,D,327,D,327,D,,A,,A,,A,2000,D,,A,D,,A,2021,D,TOY
20232,05222163,9,0,5,01,D,105,D,2022,D,,A,36,D,09,D,399,D,3,D,,A,,C,2000,D,,A,,A,399,D,399,D,399,D,,A,,A,,A,2000,D,,A,D,,A,2022,D,MAZ
20232,05223223,13,0,5,01,D,105,D,2020,D,,A,36,D,06,D,289,D,3,D,,A,,A,,A,,A,,A,289,D,289,D,289,D,,A,,A,,A,,A,,A,D,,A,2020,D,TOY
20232,05225533,10,0,5,02,D,105,D,2022,D,,A,12,D,12,D,405,D,3,D,,A,,A,,A,,A,,A,405,D,405,D,405,D,,A,,A,,A,,A,,A,D,,A,2022,D,MRB
20232,05226543,19,0,5,01,D,105,D,2021,D,,A,36,D,02,D,301,D,3,D,,A,,A,2500,D,,A,,A,301,D,301,D,301,D,,A,,A,,A,2500,D,,A,D,,A,2022,D,HON
20232,05226953,14,0,5,01,D,105,D,2019,D,,A,,C,02,F,,C,,C,,A,,A,,A,,A,,A,248,F,248,F,248,F,,A,,A,,A,,A,,A,D,,A,2022,F,KIA
20232,05228733,19,0,5,01,D,105,D,2020,D,,A,3,D,05,D,267,D,3,D,,A,,A,,A,,A,05,D,267,D,267,D,267,D,,A,,A,,A,,A,200,D,D,,A,2020,D,JEE
20232,05229073,17,0,5,01,D,105,D,2020,D,,A,39,D,01,D,527,D,3,D,,A,,A,3000,D,,A,04,D,527,D,527,D,,A,,A,,A,,A,3000,D,,A,D,,A,2020,D,LIN
20232,05229083,14,0,5,01,D,105,D,2023,D,,A,36,D,12,D,360,D,3,D,,A,,A,3000,D,,A,,A,360,D,360,D,360,D,12,D,12,D,12,D,3000,D,,A,D,,A,2022,D,SUB
20232,05229243,14,0,5,01,D,105,D,2017,D,,A,60,D,07,D,544,D,3,D,,A,,A,10000,D,,A,,A,544,D,544,D,544,D,,A,,A,,A,10000,D,,A,D,,A,2022,D,CHE
20232,05229423,15,0,5,01,D,105,D,2021,D,,A,36,D,09,D,380,D,3,D,,A,,A,,A,,A,,A,380,D,380,D,380,D,,A,,A,,A,,A,,A,D,,A,2021,D,JEE
20232,05229503,23,0,5,01,D,105,D,2020,D,,A,36,D,03,D,400,D,3,D,,A,,A,,C,,A,03,D,400,D,,A,,A,,A,,A,,A,,B,500,D,D,,A,2019,D,JEE
20232,05229503,24,0,1,02,D,105,D,2022,D,,A,36,D,04,D,530,D,3,D,,A,,A,,A,,A,,A,,A,530,D,530,D,,A,,A,,A,,A,,A,D,,A,2023,D,JEE
20232,05229523,15,0,5,01,D,105,D,2019,D,,A,36,D,05,D,450,D,3,D,,A,,A,,A,,A,,A,450,D,450,D,450,D,,A,,A,,A,,A,,A,D,,A,2019,D,LIN
20232,05229673,28,0,5,01,D,105,D,2023,D,,A,36,D,02,D,266,D,3,D,,A,14000,D,2000,D,,A,,A,266,D,266,D,266,D,,A,,A,,A,2000,D,,A,D,,A,2023,D,TOY
20232,05230363,15,0,5,01,D,105,D,2018,D,,A,60,D,03,D,670,D,3,D,,A,,A,1300,D,,A,,A,670,D,670,D,670,D,,A,,A,,A,1300,D,,A,D,,A,2023,D,KIA
20232,05230813,19,0,5,02,D,105,D,2023,D,,A,36,D,11,D,499,D,3,D,,A,6000,D,6000,D,,A,,A,499,D,499,D,499,D,,A,,A,,A,6000,D,,A,D,,A,2022,D,SUB
20232,05231013,26,0,5,01,D,105,D,2020,D,,A,60,D,12,D,280,D,3,D,,A,1000,D,2000,D,,A,,A,280,D,280,D,280,D,,A,,A,,A,2000,D,,A,D,,A,2019,D,NIS
20232,05231313,15,0,1,01,D,105,D,2021,D,,A,36,D,03,F,400,D,3,D,,A,,C,,A,,A,,A,400,D,400,D,400,D,,A,,A,,A,,A,,A,D,,A,2021,D,MRB
20232,05233423,14,0,5,01,D,105,D,2021,D,,A,36,D,03,D,410,D,3,D,,A,,A,,A,,A,,A,410,D,410,D,410,D,,A,,A,,A,,A,,A,D,,A,2021,D,CHE
20232,05233893,18,0,5,01,D,105,D,2020,D,,A,36,D,09,D,450,D,3,D,,A,,A,,C,,A,,A,450,D,450,D,450,D,,A,,A,,A,,B,,A,D,,A,2021,D,ACU
20232,05234673,13,0,1,01,D,105,D,2022,D,,A,36,D,02,D,320,D,3,D,,A,,A,,A,,A,,A,320,D,320,D,320,D,,A,,A,,A,,A,,A,D,,A,2023,D,JEE
20232,05236543,7,0,1,01,D,105,D,2020,D,,A,48,D,09,D,725,D,3,D,,A,2500,D,2000,D,,A,,A,725,D,725,D,725,D,,A,,A,,A,2000,D,,A,D,,A,2020,D,CAD
20232,05251762,15,0,1,01,D,105,D,2020,D,,A,36,D,11,D,364,D,3,D,,A,8000,D,,A,,A,,A,364,D,364,D,364,D,,A,,A,,A,,A,,A,D,,A,2020,D,JEE
20232,05253182,16,0,5,01,D,105,D,2020,D,,A,36,D,03,F,339,D,3,D,,A,,A,4000,D,,A,,A,339,D,339,D,339,D,,A,,A,,A,4000,D,,A,D,,A,2020,D,KIA
20232,05253312,21,0,5,01,D,105,D,2020,D,,A,48,D,03,D,900,D,3,D,,A,,A,,A,,A,,A,900,D,900,D,900,D,,A,,A,,A,,A,,A,D,,A,2020,D,MRB
20232,05253812,15,0,5,01,D,105,D,2020,D,,A,36,D,02,D,290,D,3,D,,A,,C,,A,,A,,A,290,D,290,D,290,D,,A,,A,,A,,A,,A,D,,A,2020,D,HYU
20232,05254702,20,0,5,01,D,105,D,2020,D,,A,36,D,03,D,440,D,3,D,,A,,A,,A,,A,,A,440,D,440,D,440,D,,A,,A,,A,,A,,A,D,,A,2021,D,HON
20232,05258042,12,0,5,01,D,105,D,2022,D,,A,36,D,08,D,500,D,3,D,,A,,A,5000,D,,A,,A,500,D,500,D,500,D,,A,,A,,A,5000,D,,A,D,,A,2022,D,CHE
20232,05258052,25,0,5,01,D,105,D,2021,D,,A,36,D,01,D,248,D,3,D,,A,,C,3000,D,,A,,A,248,D,248,D,248,D,,A,,A,,A,3000,D,,A,D,,A,2022,D,NIS
20232,05258232,9,0,5,01,D,105,D,2020,D,,A,36,D,02,D,495,D,3,D,,A,3000,D,1000,D,,A,02,D,495,D,495,D,,A,,A,,A,,A,1000,D,2000,D,D,,A,2020,D,BMW
20232,05259112,15,0,5,01,D,105,D,2021,D,,A,36,D,05,D,460,D,3,D,,A,,A,,A,,A,,A,460,D,460,D,460,D,,A,,A,,A,,A,,A,D,,A,2021,D,DOD
20232,05259982,13,0,1,01,D,105,D,2023,D,,A,36,D,03,D,560,D,3,D,,A,,A,2500,D,,A,,A,,A,,A,560,D,,A,,A,,A,2500,D,,A,D,,A,2023,D,AUD
20232,05261462,14,0,1,01,D,105,D,2021,D,,A,36,D,08,D,616,D,3,D,,A,,A,5000,D,,A,,A,616,D,616,D,616,D,,A,,A,,A,5000,D,,A,D,,A,2021,D,LEX
20232,05261532,12,0,5,01,D,105,D,2021,D,,A,36,D,12,D,834,D,3,D,,A,,A,,A,,A,,A,832,D,832,D,832,D,,A,,A,,A,,A,,A,D,,A,2021,D,GMC
20232,05261952,10,0,5,01,D,105,D,2019,D,,A,36,D,08,D,375,D,3,D,,A,,A,,A,,A,,A,375,D,375,D,375,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20232,05262062,16,0,5,01,D,105,D,2022,D,,A,36,D,05,F,300,D,3,D,,A,,A,2000,D,,A,,A,300,D,300,D,300,D,,A,,A,,A,2000,D,,A,D,,A,2022,D,HON
20232,05262202,13,0,5,01,D,105,D,2020,D,,A,36,D,05,D,568,D,3,D,,A,,C,4000,D,,A,,A,568,D,568,D,568,D,,A,,A,,A,4000,D,,A,D,,A,2019,D,LIN
20232,05263442,7,0,1,01,D,105,D,2023,D,,A,48,D,05,D,509,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2023,D,CHE
