consumer_unit_id,age_of_reference_person,education_level,region_code,income_range_code,total_annual_spending,spending_class
5201883,64,,West,1.0,30258.000000001,Medium
5201933,45,,South,1.0,369442.65000004997,High
5201993,48,,Midwest,1.0,47121.000000113,Medium
5202043,25,,Northeast,1.0,100289.99999899999,Medium
5202403,59,,Northeast,4.0,40116.999999882,Medium
5202423,26,,Midwest,1.0,17005.0000000009,Low
5202443,60,,West,1.0,190141.00000101,High
5202543,28,,South,3.0,320346.9999999989,High
5202813,27,,Northeast,1.0,134348.999999969,High
5203053,63,,South,1.0,199027.50000099998,High
5203073,33,,West,1.0,211664.99999999002,High
5203213,31,,Northeast,1.0,96437.9999998499,Medium
5203343,24,,Midwest,1.0,152491.7500009871,High
5203383,66,,Northeast,5.0,121067.0000000201,High
5203413,42,,West,2.0,129916.99999893,High
5203583,52,,West,1.0,279482.99999997,High
5203663,49,,Northeast,1.0,165196.000001002,High
5203763,42,,Northeast,1.0,105411.999999018,Medium
5203863,42,,South,1.0,138520.999998901,High
5203973,38,,West,1.0,19021.249999091993,Low
5204393,37,,South,5.0,13577.0000000089,Low
5204403,60,,Northeast,1.0,238567.99999896903,High
5204413,62,,West,1.0,542528.9999899109,High
5204613,37,,Northeast,1.0,208896.999999933,High
5204643,41,,West,1.0,277843.999998982,High
5204953,35,,West,1.0,100432.000000022,Medium
5205513,74,,Midwest,5.0,209385.0000010201,High
5205763,79,,Midwest,5.0,9075.999999999,Low
5205783,52,,Midwest,2.0,70891.50000089781,Medium
5205843,71,,West,4.0,119289.99999899011,High
5205853,56,,South,1.0,75045.0000009791,Medium
5205863,59,,South,1.0,273377.19999909,High
5205953,52,,Midwest,1.0,327172.000001002,High
5206073,43,,West,1.0,219265.9999990322,High
5206143,31,,South,4.0,406079.999999901,High
5206233,64,,West,5.0,210277.999999998,High
5206383,46,,South,1.0,182200.00000099099,High
5206453,31,,Northeast,1.0,78835.999999009,Medium
5206473,40,,Northeast,1.0,247640.000000999,High
5206483,52,,South,3.0,94214.00000000901,Medium
5206593,52,,Northeast,1.0,16115.9999999,Low
5206663,31,,Midwest,3.0,136887.000000909,High
5206743,43,,West,5.0,175007.5000009909,High
5206913,45,,West,3.0,106730.499999009,Medium
5207033,31,,South,1.0,19986.00000002,Low
5207073,54,,South,5.0,49039.9999999999,Medium
5207253,57,,South,2.0,214109.50000101,High
5207303,77,,Midwest,1.0,88459.74999993,Medium
5207353,50,,Northeast,5.0,222583.000001001,High
5207383,53,,South,1.0,207938.999999958,High
5207403,47,,South,1.0,34372.999999901,Medium
5207543,37,,Midwest,1.0,216277.999999001,High
5207673,47,,Midwest,1.0,108872.0500012,Medium
5207713,66,,Northeast,4.0,201427.999998977,High
5207723,60,,West,2.0,128160.00000101101,High
5207963,52,,South,1.0,227961.250001089,High
5208003,42,,Northeast,5.0,94207.999999981,Medium
5208103,55,,South,5.0,344178.00000096,High
5208173,50,,West,5.0,220168.3499999929,High
5208233,56,,South,1.0,65220.9999999911,Medium
5208253,33,,South,1.0,12351.0,Low
5208473,61,,West,1.0,201787.999999999,High
5208553,43,,Midwest,1.0,88714.999998988,Medium
5208703,49,,South,1.0,315938.24999889,High
5208773,26,,South,3.0,19136.0,Low
5209123,49,,South,1.0,406446.499999921,High
5209333,54,,South,1.0,61402.5000000011,Medium
5209373,47,,South,1.0,200078.000000001,High
5209433,50,,South,1.0,12396.999999993,Low
5209853,60,,West,1.0,531504.249990009,High
5210143,48,,Northeast,1.0,294031.000000109,High
5210313,46,,Midwest,1.0,59042.999999984,Medium
5210433,52,,South,1.0,243627.999999989,High
5210513,43,,Midwest,1.0,5412.500001091994,Low
5210553,26,,Northeast,1.0,7976.999999991,Low
5210623,55,,Northeast,5.0,340423.250001082,High
5210693,42,,West,3.0,260718.000000081,High
5210703,61,,Midwest,1.0,62267.00000098901,Medium
5210743,46,,West,1.0,537618.24999013,High
5210803,30,,South,1.0,15282.9999999789,Low
5211013,48,,West,4.0,251125.999998962,High
5211053,36,,West,1.0,363574.00001010904,High
5211143,67,,West,1.0,221096.00000097998,High
5211343,32,,West,1.0,426891.000001012,High
5211383,47,,South,1.0,10538.000000001,Low
5211403,59,,Northeast,1.0,154007.7500008909,High
5211513,74,,South,5.0,81058.00000002,Medium
5211543,51,,West,1.0,14766.999999999,Low
5211673,42,,West,1.0,225031.9999999,High
5211793,46,,Midwest,1.0,9716.000000001,Low
5211833,45,,Northeast,4.0,84725.9999990191,Medium
5211903,29,,West,1.0,519204.9999899601,High
5212013,77,,South,3.0,156365.00000102998,High
5212063,29,,South,1.0,10612.000000001,Low
5212133,87,,West,1.0,17193.499999890002,Low
5212153,49,,South,3.0,99202.00000101101,Medium
5212353,51,,Northeast,1.0,16225.999999909,Low
5212463,51,,Midwest,3.0,163773.24999918102,High
5212583,48,,Northeast,5.0,262663.99999993097,High
5212633,40,,South,1.0,86182.99999901009,Medium
5212663,51,,West,1.0,242029.00000097998,High
5212683,61,,South,1.0,292644.99999902095,High
5212723,41,,Midwest,1.0,49116.999999977,Medium
5212793,69,,West,1.0,254385.999999,High
5213023,58,,Midwest,1.0,78396.9999990201,Medium
5213063,49,,South,1.0,47057.4999999851,Medium
5213113,62,,West,1.0,13979.000000011,Low
5213163,71,,Northeast,1.0,135127.000000971,High
5213263,25,,Midwest,1.0,19458.000000001,Low
5213363,27,,Northeast,1.0,17395.999999959,Low
5213413,46,,Northeast,2.0,159456.499999012,High
5213423,59,,South,5.0,199859.000001,High
5213603,54,,Midwest,4.0,99867.000000108,Medium
5213703,34,,South,1.0,35311.000000029,Medium
5213873,41,,West,1.0,172450.0000000222,High
5214013,61,,Northeast,1.0,90347.99999902,Medium
5214103,39,,South,1.0,122519.99999902,High
5214143,75,,Northeast,1.0,135227.99999898102,High
5214183,54,,South,1.0,61490.4,Medium
5214353,47,,Midwest,1.0,170606.000000981,High
5214433,52,,Midwest,1.0,153203.999999931,High
5214513,43,,Northeast,1.0,323887.499999193,High
5214543,59,,West,1.0,549144.99999004,High
5214643,87,,West,1.0,90344.00000101101,Medium
5214683,45,,West,1.0,146173.00000102,High
5214933,37,,South,1.0,78465.99999899999,Medium
5214983,30,,South,1.0,90829.000000022,Medium
5215033,42,,Northeast,1.0,25729.999999911,Low
5215103,30,,South,3.0,109611.000000998,Medium
5215143,52,,Northeast,1.0,15595.99999999,Low
5215183,51,,Northeast,1.0,154509.400000893,High
5215223,32,,West,1.0,16835.0000000281,Low
5215553,24,,Midwest,1.0,9162.000000009,Low
5215563,60,,South,1.0,224326.000000018,High
5215613,67,,West,1.0,47877.000000003,Medium
5215793,47,,Midwest,5.0,219971.999999881,High
5215823,65,,West,1.0,195684.00000102,High
5215853,87,,Midwest,5.0,2493.0,Low
5215963,62,,Northeast,5.0,356915.749999897,High
5216013,42,,West,1.0,21558.999999890002,Low
5216053,66,,South,1.0,131142.00000102,High
5216073,62,,Midwest,1.0,62557.000000991,Medium
5216083,50,,West,1.0,222363.000001003,High
5216193,72,,West,1.0,186157.000001,High
5216233,41,,Midwest,1.0,62055.000001001004,Medium
5216483,48,,West,2.0,524677.999990021,High
5216613,54,,Midwest,1.0,124770.000000889,High
5216664,39,,West,1.0,195718.000000988,High
5216713,60,,Northeast,1.0,186102.50000099,High
5216893,60,,West,1.0,333580.999999928,High
5216903,51,,West,4.0,184330.0000000111,High
5216993,48,,Midwest,1.0,147646.99999999,High
5217003,52,,West,1.0,537465.249990069,High
5217013,66,,South,1.0,50166.000000989996,Medium
5217183,51,,Midwest,5.0,12011.0,Low
5217233,46,,South,1.0,95891.00000101101,Medium
5217263,56,,Northeast,1.0,81468.999998979,Medium
5217403,54,,Northeast,1.0,193520.999999133,High
5217503,72,,South,1.0,51554.99999999,Medium
5217633,58,,West,1.0,255732.999998921,High
5217673,59,,Midwest,1.0,79600.00000099,Medium
5217853,35,,West,1.0,239287.00000102,High
5217923,31,,South,1.0,101397.999998908,Medium
5218033,55,,South,5.0,127508.25000098,High
5218063,42,,West,1.0,551803.4999899099,High
5218643,24,,West,1.0,8133.0,Low
5218653,43,,South,1.0,381554.000000002,High
5218673,27,,South,1.0,249130.99999997,High
5218813,42,,South,1.0,21438.999999911,Low
5218883,37,,South,3.0,99732.00000002,Medium
5218983,33,,West,1.0,284697.0000009031,High
5219023,62,,South,1.0,569419.499990098,High
5219033,66,,South,3.0,153343.00000001088,High
5219063,47,,West,1.0,215931.99999896,High
5219223,63,,West,1.0,25923.4999999,Low
5219263,52,,South,1.0,45645.9999999821,Medium
5219313,76,,West,5.0,144226.50000101,High
5219353,40,,Midwest,1.0,150984.999999098,High
5219373,45,,South,1.0,108400.000000898,Medium
5219563,56,,South,1.0,117618.00000090801,High
5219603,40,,South,3.0,100006.999999922,Medium
5219633,46,,Northeast,1.0,79285.99999898899,Medium
5219813,53,,West,1.0,116409.9999989321,High
5219924,46,,Midwest,1.0,327750.999998989,High
5219943,60,,Midwest,1.0,93421.4,Medium
5219953,50,,West,1.0,233505.00000101,High
5220153,48,,South,1.0,158029.000001001,High
5220173,49,,West,4.0,145434.249998798,High
5220243,50,,Midwest,1.0,179021.00000001,High
5220353,47,,Midwest,4.0,96405.00000001,Medium
5220413,50,,Midwest,1.0,85186.9999990291,Medium
5220493,36,,South,1.0,85095.000000989,Medium
5220533,43,,West,2.0,113315.749999911,Medium
5220633,42,,West,1.0,154757.999999011,High
5220693,47,,South,4.0,102635.999999869,Medium
5220863,40,,West,1.0,20028.00000001,Low
5220873,35,,South,1.0,19741.9999999989,Low
5220913,40,,Northeast,1.0,470633.49999702105,High
5221183,31,,South,1.0,31458.500000119,Medium
5221213,43,,West,5.0,19957.99999999,Low
5221283,35,,South,1.0,111412.000001002,Medium
5221383,54,,South,1.0,100418.99999899,Medium
5221403,38,,Northeast,1.0,41522.999999961,Medium
5221503,48,,South,1.0,103311.999999991,Medium
5221513,46,,South,4.0,130410.99999901201,High
5221613,29,,Northeast,1.0,63277.0000000202,Medium
5221673,68,,Northeast,1.0,16339.000000001,Low
5221883,42,,South,3.0,137043.99999901,High
5221933,41,,Northeast,1.0,190025.000000887,High
5221963,36,,West,1.0,22252.0,Low
